"#SKU","Status","Name (EN)","Tax Code","Price","MSRP","Summary (EN)","Description (EN)","Tags","Categories","Country Catalog","Best Seller","New","Inventory","Weight","Shippable","Base product","Variant Group 1","Variant Group 2","Listing image","Image","All Images","Display Order"
"ENPS125","Active","ENHANCEMENTS Micro-Dermabrasion Paste","P0000000",58,58,"Polishes skin with a sugar-and-salt scrub featuring vitamins C and E.","<p>  ENHANCEMENTS Micro-Dermabrasion Paste is a high-glide, oil-free formula designed to promote maximum gentle exfoliation. Use intermittently to enhance cell turnover and improve skin tone and texture. Lucky Magazine reports that it smoothes away rough spots. 125 mL/4.2 Fl.Oz.</p>","antique","ANT101,MRK101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"RVTN125","Active","REVERSE Skin Lightening Toner","P0000000",30,30,"Delivers the proven skin lightening benefits of hydroquinone in a fast-absorbing liquid.","<p>  REVERSE Skin Lightening Toner delivers the time-proven benefits of hydroquinone in a fast-absorbing liquid vehicle. By combining effective medicine and botanical skin brighteners, REVERSE Skin Lightening Toner is a winner in the battle against blotchy, dull skin, and discoloration. 125 mL/4.2 Fl.Oz.</p>","antique","ANT101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png","images/products/images4.jpg,images/products/DSC00751.JPG",
"RVSS050","Active","REVERSE Broad Spectrum SPF 50+ Sunscreen","P0000000",30,30,"Provides optimum protection against the sun with platform sunscreen technology for prolonged UVA protection and decelerated photo-aging.","<p>  REVERSE Broad Spectrum SPF 50+ Sunscreen features SHIELD<sup>rf</sup>, a unique complex of stabilized avobenzone and anti-oxidant/anti-inflammatory colorless carotenoids, to provide prolonged broad spectrum protection and ensure that the REVERSE Regimen has every opportunity to reverse the signs of past damage, while preventing new discolorations from forming. Vitamin E and green tea fight free radicals and prevent future damage from occurring, while licorice extract and mulberry help to brighten dull skin. 50 mL/1.7 Fl.Oz.</p> <p>  <img alt=""The Skin Cancer Foundation Seal of Recommendation for Sunscreens: Daily Use"" src=""https://www.rodanandfields.com/images/Products/SCF_Seal-Daily-small.jpg"" style=""width: 37px; height: 55px;"" /></p>","antique","ANT101,MRK102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"RVTT050","Active","REVERSE Skin Lightening Treatment","P0000000",57,57,"Maximizes treatment with hydroquinone in a lightweight, fast absorbing lotion.","<p>  REVERSE Skin Lightening Treatment provides the benefits of hydroquinone to lighten unwanted discolorations below the skin&#39;s surface that cause dulling of the complexion. In addition to hydroquinone, REVERSE Skin Lightening Treatment contains vitamin C and retinol, two highly functional skincare ingredients that enhance the skin brightening process. By layering REVERSE Skin Lightening Treatment over REVERSE Skin Lightening Toner, uniform lightening and brightening of the skin is optimized. 50 mL/1.7 Fl.Oz.</p>","antique","ANT101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"AAEY015","Active","REDEFINE Multi-Function Eye Cream","P0000000",45,45,"Utilizes powerful peptides to minimize the look of crow’s-feet and reduce the appearance of dark circles and puffiness. Optical filters visibly brighten the eye area.","<p>  &nbsp;</p> <p>  REDEFINE &nbsp;Multi-Function Eye Cream combines powerful peptides to minimize the appearance of crow&rsquo;s-feet, helps reduce the appearance of both puffiness and dark under eye circles while special optical diffusers noticeably brighten the eye area. Ophthalmologist tested, this formula is ideal for maintaining the delicate skin around the eyes. 15 mL/0.5 Fl.Oz</p>","antique","ANT101","US",,,1,,1,"RVTT050","silver","red","images/no_image_available.png","images/no_image_available.png",,
"AASR060","Active","REDEFINE Night Renewing Serum","P0000000",67,67,"Visibly reduces the appearance of aging with a potent blend of peptides and retinol.","<p>  <br />  &nbsp;&nbsp;&nbsp; Each REDEFINE Night Renewing Serum capsule contains a potent, proprietary blend of peptides and retinol to visibly improve skin texture and firmness and reduce the appearance of wrinkles. Retinol, favored by dermatologists for decades, improves skin texture and minimizes the appearance of pores. Patented time-release technology increases skin&rsquo;s receptivity throughout the night while reducing potential irritancy. Recognized by Harper&rsquo;s Bazaar Magazine as an Editors&#39; Choice. 60 capsules.</p> <br /> <br /> <p>  &nbsp;</p> <p>  &nbsp;</p>","antique,jewerly","ANT101","US",,,1,,1,"RVTT050","silver","blue","images/no_image_available.png","images/no_image_available.png",,
"UNRG001","Active","UNBLEMISH Regimen for Acne and Post-Acne Marks","P0000000",120,120,"Combines acne-fighting and skin-lightening medicines to clear skin, control oil production, kill bacteria, prevent post-acne dark marks, and protect against UV damage.","<p>  Breakouts? Unpredictable? Unreasonable? Unfair? Take control with our UNBLEMISH Regimen. Clinically proven to combat the entire acne cycle, this sophisticated regimen helps unclog pores, clears breakouts and calms your complexion to keep pimples, blackheads and post-acne marks from making an unwelcome appearance on your face&mdash;and in your life.<br />  <br />  Since many acne sufferers have post-inflammatory hyperpigmentation (PIH), the remnant red/brown marks following a healed blemish, we offer UNBLEMISH Spot Fading Toner. However, if you are one of the lucky few who does not experience PIH, use our UNBLEMISH Clarifying Toner as an alternative.<br />  <br />  The UNBLEMISH Regimen features 4 full-size products: Acne Treatment Sulfur Wash 125 mL/4.2 Fl.Oz.; Spot Fading Toner 125 mL/4.2 Fl.Oz. OR Clarifying Toner 125 mL/4.2 Fl.Oz.; Dual Intensive Acne Treatment 2 x 15 mL/.5 Fl.Oz.; and Oil Control Lotion SPF 20 30 mL/1 Fl.Oz.</p>","antique","ANT101","US",,,1,,1,"RVTT050","silver","green","images/no_image_available.png","images/no_image_available.png",,
"UNTN125","Active","UNBLEMISH Spot Fading Toner","P0000000",30,30,"Lightens and prevents post-acne marks and spots.","Alcohol-free toner contains dermatologist-preferred 2% hydroquinone to lighten and prevent post-acne marks and spots. Salicylic acid removes dead skin cells, keeps pores clear, and prepares skin for treatment. 125 mL/4.2 Fl.Oz.","antique","ANT101,MRK102","US",,,1,,1,"RVTT050","gold","red","images/no_image_available.png","images/no_image_available.png","images/products/images2.jpg",
"UNTT030","Active","UNBLEMISH Dual Intensive Acne Treatment","P0000000",65,65,"Dual chamber delivery system Kills bacteria and stops breakouts.","Unique dual chamber delivery system ensures maximum efficacy of benzoyl peroxide deep into the pores, killing bacteria and stopping breakouts before they start. 2 x 15 mL/.5 Fl.Oz.","antique","ANT101","US",,,1,,1,"RVTT050","gold","blue","images/no_image_available.png","images/no_image_available.png",,
"SORG001","Active","SOOTHE Regimen for Sensitive, Irritated Skin and Facial Redness","P0000000",120,120,"Shields against the biological and environmental aggressors that can trigger inflammation, helps fortify skin’s natural moisture barrier, calms visible redness, and reduces irritation so that you can take comfort in having a healthy-looking complexion every day.","<p>  Where do you turn when your face can&#39;t take it anymore? Calm the flush-blush reaction of a hyper-sensitive complexion with SOOTHE. Clinically proven to reduce redness and irritation in as little as 5 minutes, SOOTHE shields against the biological and environmental aggressors that can trigger inflammation, helps fortify skin&rsquo;s natural moisture barrier, calms visible redness, and reduces irritation so that you can take comfort in having a healthy-looking complexion every day. The SOOTHE Regimen features 4 full-size products: Gentle Cream Wash 125 mL/4.2 Fl.Oz.; Sensitive Skin Treatment 50 mL/1.7 Fl.Oz.; Moisture Replenishing Cream 50 mL/1.7 Fl.Oz.; and Mineral Sunscreen SPF 30 50 mL/1.7 Fl.Oz.</p>","antique","ANT101","US",,,0,,1,"RVTT050","gold","green","images/no_image_available.png","images/no_image_available.png",,
